,aruco_IDs,aruco_Corners,Timestamps
108,[[4]],"(array([[[ 906.,  760.],
        [1002.,  762.],
        [ 997.,  857.],
        [ 903.,  855.]]], dtype=float32),)",4328
109,[[4]],"(array([[[ 907.,  762.],
        [1003.,  765.],
        [ 998.,  859.],
        [ 903.,  857.]]], dtype=float32),)",4368
110,[[4]],"(array([[[ 906.,  764.],
        [1003.,  767.],
        [ 998.,  861.],
        [ 903.,  859.]]], dtype=float32),)",4408
111,[[4]],"(array([[[ 906.,  764.],
        [1002.,  767.],
        [ 997.,  861.],
        [ 903.,  860.]]], dtype=float32),)",4448
112,[[4]],"(array([[[ 905.,  767.],
        [1001.,  768.],
        [ 995.,  864.],
        [ 902.,  863.]]], dtype=float32),)",4488
113,[[4]],"(array([[[904., 771.],
        [999., 773.],
        [994., 869.],
        [900., 868.]]], dtype=float32),)",4528
114,[[4]],"(array([[[903., 778.],
        [999., 779.],
        [994., 875.],
        [900., 874.]]], dtype=float32),)",4568
115,[[4]],"(array([[[ 906.,  781.],
        [1002.,  782.],
        [ 997.,  878.],
        [ 902.,  876.]]], dtype=float32),)",4608
116,[[4]],"(array([[[900., 782.],
        [997., 784.],
        [993., 879.],
        [897., 878.]]], dtype=float32),)",4648
117,[[4]],"(array([[[894., 781.],
        [991., 784.],
        [985., 879.],
        [890., 877.]]], dtype=float32),)",4688
118,[[4]],"(array([[[895., 781.],
        [993., 783.],
        [988., 877.],
        [893., 876.]]], dtype=float32),)",4728
119,[[4]],"(array([[[901., 779.],
        [999., 781.],
        [994., 876.],
        [899., 874.]]], dtype=float32),)",4768
120,[[4]],"(array([[[901., 779.],
        [999., 781.],
        [994., 876.],
        [899., 875.]]], dtype=float32),)",4808
121,[[4]],"(array([[[899., 780.],
        [997., 782.],
        [992., 877.],
        [896., 875.]]], dtype=float32),)",4848
122,[[4]],"(array([[[900., 781.],
        [997., 783.],
        [992., 878.],
        [897., 876.]]], dtype=float32),)",4888
