Timestamps,aruco_IDs,aruco_Corners
3806,[[4]],"(array([[[1042.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1040.,  911.]]], dtype=float32),)"
3846,[[4]],"(array([[[1042.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3886,[[4]],"(array([[[1042.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3927,[[4]],"(array([[[1042.,  805.],
        [1153.,  810.],
        [1150.,  917.],
        [1039.,  910.]]], dtype=float32),)"
3967,[[4]],"(array([[[1041.,  805.],
        [1153.,  810.],
        [1149.,  917.],
        [1039.,  910.]]], dtype=float32),)"
4007,[[4]],"(array([[[1041.,  805.],
        [1153.,  810.],
        [1150.,  916.],
        [1039.,  910.]]], dtype=float32),)"
4047,[[4]],"(array([[[1042.,  805.],
        [1153.,  809.],
        [1151.,  916.],
        [1040.,  910.]]], dtype=float32),)"
4087,[[4]],"(array([[[1043.,  805.],
        [1154.,  809.],
        [1152.,  916.],
        [1041.,  910.]]], dtype=float32),)"
4127,[[4]],"(array([[[1044.,  804.],
        [1155.,  809.],
        [1153.,  916.],
        [1041.,  909.]]], dtype=float32),)"
4167,[[4]],"(array([[[1044.,  805.],
        [1156.,  811.],
        [1152.,  917.],
        [1041.,  910.]]], dtype=float32),)"
4207,[[4]],"(array([[[1043.,  806.],
        [1154.,  810.],
        [1151.,  918.],
        [1041.,  912.]]], dtype=float32),)"
4247,[[4]],"(array([[[1043.,  806.],
        [1154.,  812.],
        [1150.,  919.],
        [1040.,  912.]]], dtype=float32),)"
4287,[[4]],"(array([[[1043.,  806.],
        [1154.,  812.],
        [1151.,  918.],
        [1040.,  911.]]], dtype=float32),)"
4327,[[4]],"(array([[[1044.,  805.],
        [1155.,  811.],
        [1152.,  917.],
        [1041.,  910.]]], dtype=float32),)"
4368,[[4]],"(array([[[1044.,  805.],
        [1155.,  811.],
        [1151.,  917.],
        [1040.,  910.]]], dtype=float32),)"
4408,[[4]],"(array([[[1043.,  806.],
        [1154.,  811.],
        [1150.,  919.],
        [1040.,  911.]]], dtype=float32),)"
4448,[[4]],"(array([[[1043.,  807.],
        [1154.,  812.],
        [1150.,  920.],
        [1040.,  912.]]], dtype=float32),)"
4488,[[4]],"(array([[[1043.,  808.],
        [1154.,  813.],
        [1151.,  920.],
        [1040.,  913.]]], dtype=float32),)"
4528,[[4]],"(array([[[1042.,  808.],
        [1154.,  813.],
        [1151.,  920.],
        [1040.,  913.]]], dtype=float32),)"
4568,[[4]],"(array([[[1042.,  807.],
        [1153.,  812.],
        [1150.,  919.],
        [1040.,  913.]]], dtype=float32),)"
4608,[[4]],"(array([[[1041.,  806.],
        [1153.,  811.],
        [1150.,  918.],
        [1039.,  911.]]], dtype=float32),)"
4648,[[4]],"(array([[[1041.,  805.],
        [1153.,  810.],
        [1149.,  917.],
        [1039.,  910.]]], dtype=float32),)"
4688,[[4]],"(array([[[1041.,  804.],
        [1152.,  809.],
        [1149.,  916.],
        [1039.,  909.]]], dtype=float32),)"
4728,[[4]],"(array([[[1041.,  803.],
        [1152.,  808.],
        [1149.,  915.],
        [1039.,  909.]]], dtype=float32),)"
4768,[[4]],"(array([[[1040.,  804.],
        [1152.,  808.],
        [1149.,  915.],
        [1038.,  908.]]], dtype=float32),)"
4808,[[4]],"(array([[[1040.,  804.],
        [1151.,  809.],
        [1148.,  916.],
        [1037.,  908.]]], dtype=float32),)"
4848,[[4]],"(array([[[1039.,  804.],
        [1151.,  809.],
        [1148.,  916.],
        [1037.,  909.]]], dtype=float32),)"
4888,[[4]],"(array([[[1039.,  804.],
        [1151.,  809.],
        [1147.,  916.],
        [1037.,  909.]]], dtype=float32),)"
4928,[[4]],"(array([[[1040.,  803.],
        [1151.,  808.],
        [1148.,  915.],
        [1037.,  908.]]], dtype=float32),)"
4968,[[4]],"(array([[[1039.,  803.],
        [1151.,  809.],
        [1147.,  915.],
        [1037.,  908.]]], dtype=float32),)"
5008,[[4]],"(array([[[1038.,  803.],
        [1150.,  808.],
        [1146.,  915.],
        [1036.,  908.]]], dtype=float32),)"
5049,[[4]],"(array([[[1037.,  803.],
        [1149.,  808.],
        [1146.,  914.],
        [1035.,  907.]]], dtype=float32),)"
5089,[[4]],"(array([[[1037.,  803.],
        [1149.,  809.],
        [1145.,  915.],
        [1035.,  908.]]], dtype=float32),)"
5129,[[4]],"(array([[[1037.,  804.],
        [1149.,  808.],
        [1146.,  915.],
        [1035.,  908.]]], dtype=float32),)"
5169,[[4]],"(array([[[1038.,  804.],
        [1150.,  808.],
        [1147.,  915.],
        [1036.,  908.]]], dtype=float32),)"
5209,[[4]],"(array([[[1039.,  803.],
        [1151.,  808.],
        [1148.,  914.],
        [1037.,  908.]]], dtype=float32),)"
5249,[[4]],"(array([[[1040.,  800.],
        [1151.,  806.],
        [1148.,  911.],
        [1037.,  905.]]], dtype=float32),)"
5289,[[4]],"(array([[[1038.,  799.],
        [1150.,  803.],
        [1147.,  909.],
        [1037.,  903.]]], dtype=float32),)"
5329,[[4]],"(array([[[1038.,  798.],
        [1150.,  802.],
        [1147.,  909.],
        [1036.,  902.]]], dtype=float32),)"
5369,[[4]],"(array([[[1038.,  797.],
        [1150.,  802.],
        [1147.,  908.],
        [1036.,  901.]]], dtype=float32),)"
5409,[[4]],"(array([[[1038.,  797.],
        [1150.,  802.],
        [1147.,  908.],
        [1037.,  902.]]], dtype=float32),)"
5449,[[4]],"(array([[[1038.,  799.],
        [1150.,  803.],
        [1147.,  910.],
        [1037.,  904.]]], dtype=float32),)"
5490,[[4]],"(array([[[1038.,  800.],
        [1150.,  804.],
        [1147.,  911.],
        [1036.,  904.]]], dtype=float32),)"
5530,[[4]],"(array([[[1038.,  798.],
        [1149.,  803.],
        [1146.,  910.],
        [1036.,  903.]]], dtype=float32),)"
5570,[[4]],"(array([[[1038.,  798.],
        [1149.,  803.],
        [1146.,  910.],
        [1036.,  904.]]], dtype=float32),)"
5610,[[4]],"(array([[[1037.,  798.],
        [1149.,  803.],
        [1146.,  909.],
        [1035.,  903.]]], dtype=float32),)"
5650,[[4]],"(array([[[1036.,  798.],
        [1148.,  802.],
        [1145.,  908.],
        [1035.,  902.]]], dtype=float32),)"
5690,[[4]],"(array([[[1036.,  798.],
        [1148.,  802.],
        [1146.,  908.],
        [1035.,  902.]]], dtype=float32),)"
5730,[[4]],"(array([[[1037.,  798.],
        [1149.,  802.],
        [1146.,  909.],
        [1036.,  903.]]], dtype=float32),)"
5770,[[4]],"(array([[[1038.,  798.],
        [1150.,  802.],
        [1147.,  909.],
        [1037.,  903.]]], dtype=float32),)"
5810,[[4]],"(array([[[1040.,  798.],
        [1151.,  803.],
        [1147.,  910.],
        [1037.,  902.]]], dtype=float32),)"
5850,[[4]],"(array([[[1040.,  799.],
        [1152.,  804.],
        [1148.,  911.],
        [1038.,  904.]]], dtype=float32),)"
5890,[[4]],"(array([[[1039.,  800.],
        [1152.,  805.],
        [1148.,  912.],
        [1038.,  905.]]], dtype=float32),)"
5930,[[4]],"(array([[[1039.,  799.],
        [1151.,  804.],
        [1148.,  911.],
        [1037.,  904.]]], dtype=float32),)"
5970,[[4]],"(array([[[1039.,  797.],
        [1151.,  801.],
        [1148.,  908.],
        [1037.,  901.]]], dtype=float32),)"
6010,[[4]],"(array([[[1040.,  794.],
        [1152.,  798.],
        [1149.,  905.],
        [1038.,  897.]]], dtype=float32),)"
6050,[[4]],"(array([[[1040.,  792.],
        [1152.,  796.],
        [1149.,  903.],
        [1039.,  896.]]], dtype=float32),)"
6090,[[4]],"(array([[[1040.,  791.],
        [1152.,  796.],
        [1149.,  903.],
        [1038.,  896.]]], dtype=float32),)"
6131,[[4]],"(array([[[1040.,  793.],
        [1152.,  797.],
        [1149.,  904.],
        [1038.,  898.]]], dtype=float32),)"
6171,[[4]],"(array([[[1040.,  794.],
        [1152.,  798.],
        [1149.,  905.],
        [1039.,  898.]]], dtype=float32),)"
6211,[[4]],"(array([[[1041.,  796.],
        [1153.,  800.],
        [1150.,  907.],
        [1040.,  901.]]], dtype=float32),)"
6251,[[4]],"(array([[[1043.,  797.],
        [1154.,  803.],
        [1150.,  909.],
        [1040.,  903.]]], dtype=float32),)"
6291,[[4]],"(array([[[1042.,  798.],
        [1154.,  804.],
        [1150.,  910.],
        [1040.,  903.]]], dtype=float32),)"
6331,[[4]],"(array([[[1041.,  798.],
        [1154.,  804.],
        [1150.,  909.],
        [1040.,  903.]]], dtype=float32),)"
6371,[[4]],"(array([[[1042.,  797.],
        [1153.,  802.],
        [1150.,  909.],
        [1039.,  902.]]], dtype=float32),)"
6411,[[4]],"(array([[[1042.,  797.],
        [1153.,  802.],
        [1149.,  909.],
        [1039.,  902.]]], dtype=float32),)"
6451,[[4]],"(array([[[1041.,  798.],
        [1153.,  803.],
        [1150.,  909.],
        [1039.,  903.]]], dtype=float32),)"
6491,[[4]],"(array([[[1041.,  799.],
        [1153.,  804.],
        [1150.,  910.],
        [1039.,  904.]]], dtype=float32),)"
6531,[[4]],"(array([[[1042.,  799.],
        [1153.,  805.],
        [1150.,  911.],
        [1039.,  904.]]], dtype=float32),)"
6572,[[4]],"(array([[[1041.,  800.],
        [1153.,  804.],
        [1150.,  911.],
        [1040.,  905.]]], dtype=float32),)"
6612,[[4]],"(array([[[1041.,  800.],
        [1154.,  805.],
        [1151.,  911.],
        [1040.,  904.]]], dtype=float32),)"
6652,[[4]],"(array([[[1042.,  800.],
        [1155.,  805.],
        [1151.,  911.],
        [1041.,  905.]]], dtype=float32),)"
6692,[[4]],"(array([[[1043.,  800.],
        [1155.,  805.],
        [1152.,  911.],
        [1041.,  904.]]], dtype=float32),)"
6732,[[4]],"(array([[[1043.,  800.],
        [1155.,  805.],
        [1152.,  911.],
        [1041.,  904.]]], dtype=float32),)"
6772,[[4]],"(array([[[1042.,  800.],
        [1155.,  804.],
        [1151.,  911.],
        [1041.,  904.]]], dtype=float32),)"
6812,[[4]],"(array([[[1043.,  799.],
        [1155.,  804.],
        [1151.,  911.],
        [1041.,  904.]]], dtype=float32),)"
6852,[[4]],"(array([[[1044.,  798.],
        [1155.,  803.],
        [1152.,  910.],
        [1041.,  903.]]], dtype=float32),)"
6892,[[4]],"(array([[[1045.,  797.],
        [1157.,  804.],
        [1152.,  910.],
        [1042.,  902.]]], dtype=float32),)"
6932,[[4]],"(array([[[1045.,  797.],
        [1157.,  802.],
        [1152.,  909.],
        [1042.,  901.]]], dtype=float32),)"
6972,[[4]],"(array([[[1044.,  796.],
        [1156.,  801.],
        [1152.,  908.],
        [1042.,  901.]]], dtype=float32),)"
7012,[[4]],"(array([[[1044.,  796.],
        [1156.,  801.],
        [1151.,  908.],
        [1042.,  901.]]], dtype=float32),)"
7052,[[4]],"(array([[[1044.,  796.],
        [1156.,  801.],
        [1152.,  908.],
        [1042.,  901.]]], dtype=float32),)"
7092,[[4]],"(array([[[1045.,  796.],
        [1157.,  801.],
        [1153.,  908.],
        [1042.,  900.]]], dtype=float32),)"
7132,[[4]],"(array([[[1045.,  796.],
        [1157.,  801.],
        [1153.,  908.],
        [1043.,  901.]]], dtype=float32),)"
7172,[[4]],"(array([[[1046.,  796.],
        [1157.,  802.],
        [1153.,  909.],
        [1043.,  902.]]], dtype=float32),)"
7212,[[4]],"(array([[[1045.,  797.],
        [1157.,  802.],
        [1153.,  909.],
        [1042.,  901.]]], dtype=float32),)"
7253,[[4]],"(array([[[1045.,  797.],
        [1157.,  803.],
        [1152.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7293,[[4]],"(array([[[1044.,  798.],
        [1157.,  803.],
        [1152.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7333,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  910.],
        [1042.,  903.]]], dtype=float32),)"
7373,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  910.],
        [1041.,  902.]]], dtype=float32),)"
7413,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  910.],
        [1042.,  903.]]], dtype=float32),)"
7453,[[4]],"(array([[[1044.,  798.],
        [1156.,  803.],
        [1152.,  910.],
        [1042.,  903.]]], dtype=float32),)"
7493,[[4]],"(array([[[1044.,  798.],
        [1157.,  803.],
        [1153.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7533,[[4]],"(array([[[1044.,  798.],
        [1157.,  803.],
        [1153.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7573,[[4]],"(array([[[1045.,  798.],
        [1157.,  803.],
        [1153.,  910.],
        [1042.,  902.]]], dtype=float32),)"
7613,[[4]],"(array([[[1045.,  798.],
        [1157.,  804.],
        [1153.,  910.],
        [1042.,  903.]]], dtype=float32),)"
