x_T,y_T,d_T,FaceA_T,FaceP_T,x_A,y_A,d_A,FaceT_A,FaceP_A,x_P,y_P,d_P,FaceT_P,FaceA_P,mutualGaze_TA,mutualGaze_TP,mutualGaze_AP,jointGazeT_AP,jointGazeA_TP,jointGazeP_TA,jointGazeTsp_AP,jointGazeAsp_TP,jointGazePsp_TA,sp_T,sp_A,sp_P
456.0,327.75,562.6043843831484,0.0,0.0,-548.5,359.5,655.814436501325,1.0,0.0,530.0,345.0,632.3969721821873,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
325.42499999999995,337.1,528.1650940162747,0.0,0.0,-542.5,361.25,651.7729152086175,1.0,0.0,532.0,348.5,635.9846106097455,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
185.32500000000002,317.9,491.3559052113044,0.0,0.0,-539.0,369.75,653.6505187912253,1.0,0.0,533.0,347.0,636.002814642785,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
45.22500000000002,298.7,454.5467164063341,0.0,0.0,-536.75,378.75,656.9300591887061,1.0,0.0,532.0,345.5,634.3457816777595,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-94.87499999999997,279.5,417.7375276013639,0.0,0.0,-571.5,363.5,677.3083682910421,1.0,0.0,533.0,345.25,635.0484816558572,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-234.97499999999997,260.3,380.92833879639363,0.0,0.0,-580.5,377.0,692.1786513604453,1.0,0.0,532.5,347.0,635.5833391152704,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-374.5,253.0,452.35264781431147,0.0,0.0,-579.5,378.5,692.1579117215092,1.0,0.0,529.5,347.0,633.0725266657294,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-531.0,298.5,609.17996541442,0.0,0.0,-580.0,379.0,692.8508017599233,1.0,0.0,520.5,355.75,630.4612336136181,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-495.0,280.0,568.766917205786,1.0,0.0,-578.5,375.0,689.4107991611388,1.0,0.0,523.0,353.75,631.401852921982,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0
-453.0,280.5,532.8199109797067,1.0,0.0,-584.0,379.0,696.201891758465,1.0,0.0,523.0,352.75,630.8421351830796,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-447.0,285.0,530.1264359749221,1.0,0.0,-585.0,375.0,694.8740893140282,1.0,0.0,521.5,352.75,629.5989639290913,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-462.5,286.0,543.8111507901956,1.0,0.0,-586.5,371.0,693.9908655352979,1.0,0.0,520.25,352.0,628.143405273046,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-454.5,290.5,539.4078142193869,1.0,0.0,-587.0,366.5,692.0198189925977,1.0,0.0,517.75,354.0,627.2010333937412,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-455.0,289.5,539.2914551005892,1.0,0.0,-587.5,363.0,690.5977556111749,1.0,0.0,516.75,354.5,626.658593261718,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-455.5,289.0,539.4453169691994,1.0,0.0,-529.0,356.5,637.9150398581874,0.0,0.0,517.25,353.75,626.6475906750923,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-455.5,288.5,539.1777799798127,1.0,0.0,-530.0,352.5,636.518913051169,1.0,0.0,517.5,354.0,626.9946172017748,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
-454.5,288.5,538.3333838257288,1.0,0.0,-529.5,351.0,635.2725792917556,1.0,0.0,518.0,354.0,627.407427106169,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-454.5,288.5,538.3331420234897,1.0,0.0,-528.0,351.5,634.2999473658119,1.0,0.0,519.5,353.75,628.5056524809348,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-453.5,288.5,537.4892352164225,1.0,0.0,-527.0,352.5,634.0236122527617,1.0,0.0,521.25,353.0,629.5325718113384,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-451.0,289.0,535.6510737161902,1.0,0.0,-517.0,358.0,628.851302858394,1.0,0.0,523.5,352.25,630.9774554038196,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-485.0,292.0,566.3369637329238,1.0,0.0,-516.5,360.0,629.5811450946509,1.0,0.0,525.25,351.0,631.7345817620892,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-523.0,289.5,597.7799527706235,1.0,0.0,-515.0,361.5,629.2118721730792,1.0,0.0,526.75,350.5,632.7052154513048,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-536.5,282.5,606.3380229405977,1.0,0.0,-512.0,362.5,627.3368084049864,1.0,0.0,528.75,350.0,634.0952088417871,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-543.0,277.0,609.572342171022,1.0,0.0,-530.0,403.0,665.8162208909578,0.0,0.0,530.75,349.5,635.4888831592493,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-542.0,274.0,607.3223619443829,1.0,0.0,-530.0,400.0,664.0030120413611,1.0,0.0,532.0,349.0,636.2591446315744,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0
-540.5,271.0,604.6331532539779,1.0,0.0,-529.5,399.5,663.3027284754128,1.0,0.0,532.5,349.5,636.9509562252402,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-528.5,266.0,591.6656572835273,1.0,0.0,-529.0,398.0,662.0008758584358,1.0,0.0,514.0,345.0,619.0790625703501,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-525.0,266.5,588.7676096660589,1.0,0.0,-529.0,397.5,661.7002720265423,1.0,0.0,488.0,286.75,571.3979704820156,0.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-552.0,293.0,625.0306972066508,1.0,0.0,-528.5,396.0,660.4001893617561,1.0,0.0,476.0,214.41666666666669,529.6146895510828,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
-571.5,310.5,650.4031343781357,1.0,0.0,-527.5,395.0,659.0003112154704,1.0,0.0,464.0,142.08333333333334,487.8314086201499,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
-574.0,313.5,654.0336323401798,1.0,0.0,-529.0,394.5,659.9025766385156,1.0,0.0,497.75,281.25,571.7148120246145,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
-585.0,285.5,651.6047320509824,1.0,0.0,-536.5,394.5,665.9298011051916,1.0,0.0,514.0,341.5,617.1049723734789,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0
-580.5,254.5,633.8406517315296,1.0,0.0,-547.5,391.5,673.0739815072664,1.0,0.0,511.5,338.5,613.3632691969743,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-584.0,255.0,637.244882311391,1.0,0.0,-548.0,388.5,671.741269851387,1.0,0.0,514.0,338.25,615.315004524201,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-587.0,256.5,640.5947888134059,1.0,0.0,-536.5,379.5,657.1548523749939,1.0,0.0,524.75,345.5,628.2827143454979,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-584.5,259.0,639.31310795259,1.0,0.0,-529.5,374.0,648.2641566439536,1.0,0.0,524.0,348.0,629.0312441095787,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-584.0,260.5,639.4659381222732,1.0,0.0,-532.5,370.5,648.7121576347877,1.0,0.0,512.75,346.75,618.998238777011,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-584.0,262.5,640.2832864978607,1.0,0.0,-537.5,369.0,651.9733522705201,1.0,0.0,503.25,350.75,613.4223431764249,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-584.0,264.0,640.8999552276148,1.0,0.0,-537.0,369.0,651.5604018886743,1.0,0.0,499.5,352.0,611.0681901029604,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
-582.5,267.5,640.9855692603384,1.0,0.0,-534.5,368.5,649.2168484756899,1.0,0.0,505.75,345.5,612.5709212068365,1.0,0.0,1,0,0,1,0,0,1,0,0,1,0,0
