x_T x_A x_P
-583.0 524.0 677.25
-580.0 523.5 667.25
-785.875 524.5 644.25
-649.55 523.5 650.25
-376.94999999999993 525.5 659.25
-380.5 532.0 646.75
-750.5 530.5 647.0
-596.0 529.0 648.5
-590.5 524.0 650.0
-580.0 526.0 647.5
-577.5 523.0 635.5
-576.0 523.5 598.0
-575.0 524.0 594.75
-571.0 524.0 592.75
-569.5 525.0 588.5
-573.0 525.5 634.5
-572.0 527.5 677.5
-572.0 527.5 674.25
-688.5 525.5 670.25
-689.0 526.0 673.0
-687.5 526.5 659.5
-685.5 527.0 653.75
-682.5 527.0 644.75
-679.5 527.0 640.5
-682.0 526.5 642.0
-665.5 514.0 652.5
-674.0 513.0 658.75
-579.0 514.0 665.75
-279.5 515.5 668.5
-250.5 520.0 666.5
-244.0 528.0 664.5
-245.5 527.5 661.75
-214.0 527.5 660.75
-246.0 526.0 659.75
-231.0 525.5 656.0
-228.5 526.0 662.5
-195.5 526.5 676.75
-90.5 525.5 649.0
3.0 523.5 618.0
37.5 520.5 657.75
63.5 522.5 662.5
51.5 523.5 646.25
-23.0 524.5 614.5
-53.5 522.5 359.75
-38.0 509.0 177.67857142857144
-17.0 508.5 -0.7499999999999716
-20.5 509.5 -179.1785714285714
-28.0 500.625 -394.5
-175.60000000000002 503.125 -476.5
-356.40000000000003 526.5 -485.25
-581.5 520.0 -488.75
-657.5 514.0 -491.75
-600.0 511.0 -493.0
-522.5 513.5 -493.25
-531.0 529.0 -495.0
-573.5 530.5 -495.5
-599.125 528.0 -494.5
-604.5 516.5 -493.5
-613.5 504.0 -492.75
-636.0 502.0 -507.0
-610.5 514.5 -522.75
-601.1071428571429 517.0 -522.25
-585.25 516.0 -522.0
-569.3928571428571 521.0 -521.0
-566.0 525.5 -519.25
-636.0 527.0 -518.75
-481.5 528.5 -486.75
-542.0 532.0 -485.79999999999995
-590.75 533.5 -468.20000000000005
-586.5 531.5 -490.5
-530.625 531.0 -501.25
-527.5 529.0 -501.25
-525.0 526.5 -514.0
-526.5 525.0 -514.5
-528.0 524.5 -516.5
-532.0 503.5 -510.0
-651.25 507.0 -509.25
-772.5 508.5 -510.0
-782.5 508.5 -509.25
-721.5 508.0 -506.75
-799.5 509.5 -506.5
-802.0 525.5 -506.5
-547.5 522.5 -506.75
-363.0 523.0 -507.25
-572.5 524.0 -507.25
-520.0 524.5 -506.25
-407.0 516.0 -506.5
-242.5 513.0 -507.5
-102.0 512.5 -508.25
40.125 512.5 -509.0
119.5 510.0 -509.0
132.0 507.0 -508.0
90.0 509.5 -507.5
105.0 515.0 -508.25
234.0 518.5 -508.5
235.5 521.0 -508.25
222.5 521.0 -508.0
201.0 520.0 -508.0
213.0 519.5 -508.0
253.0 518.5 -505.5
155.0 510.0 -506.0
60.75 503.5 -506.0
142.0 506.5 -506.25
137.0 510.5 -505.75
124.5 511.5 -506.5
129.5 510.5 -507.25
115.5 529.0 -507.25
133.5 528.5 -507.5
116.5 526.5 -506.75
109.0 525.5 -507.0
112.0 525.0 -508.5
109.5 524.5 -509.25
116.0 523.0 -508.5
120.25 522.5 -509.25
122.5 509.0 -510.5
110.5 499.54999999999995 -510.5
114.5 494.95000000000005 -510.5
112.5 489.5 -509.75
117.5 494.5 -508.0
117.5 525.0 -510.0
94.0 521.5 -510.25
121.5 523.5 -510.75
114.5 519.0 -510.25
-147.0 516.5 -507.5
-339.0 505.5 -507.75
-560.5 504.5 -507.75
-565.5 501.5 -507.5
-594.0 493.0 -507.0
-626.0 495.0 -507.25
-602.0 494.5 -505.75
-600.0 496.0 -505.0
-571.5 514.5 -504.5
-426.0 519.5 -503.5
-693.5 518.0 -503.25
-643.5 516.5 -503.25
-593.5 515.5 -502.0
-543.5 514.5 -501.75
-583.0 514.5 -501.5
-597.0 512.0 -502.0
-611.5 511.0 -503.0
-618.5 512.0 -503.0
-613.5 507.5 -503.0
-606.0 505.0 -504.25
-627.0 505.0 -505.0
-639.5 505.0 -505.75
-626.5 504.0 -507.0
