x_T x_P y_T y_P d_T d_P FaceP_T FaceT_P
-597.5 519.5 273.0 339.0 656.9330562808456 620.3242552525344 0.0 1.0
-569.0 523.75 283.5 336.75 635.7147943212658 622.6687184457437 0.0 1.0
-574.0 526.25 281.0 335.5 639.0913783645841 624.0990479386296 0.0 1.0
-565.0 531.25 283.5 333.5 632.1376796603749 627.2550493382561 0.0 1.0
-561.5 530.75 288.0 331.0 631.0517016314843 625.5054559902622 0.0 1.0
-541.5 510.25 289.5 327.5 614.1184689659725 606.3663588246407 0.0 1.0
-515.5 528.0 284.0 327.5 588.5587849571576 621.3215194573515 0.0 1.0
-504.5 525.5 278.0 325.0 576.0251878868442 617.8799196841667 0.0 1.0
-508.0 524.25 276.5 324.25 578.373864596348 616.422333802414 0.0 1.0
-520.0 487.75 275.5 326.75 588.4728581622974 587.1146832788774 0.0 1.0
-524.5 492.75 277.0 331.0 593.1520917746845 593.6022084976044 0.0 1.0
-528.5 490.75 275.5 331.0 595.9998159767975 591.9431884742769 0.0 1.0
-534.5 490.5 278.0 330.5 602.4785655889378 591.4566608847415 0.0 1.0
-523.25 490.5 257.2916666666667 329.0 583.4336873052739 590.6194439519243 0.0 1.0
-522.25 489.5 230.45833333333331 328.5 571.9665262423104 589.5104058852735 0.0 1.0
-521.25 487.75 203.625 328.25 560.4993651793468 587.9185703819046 0.0 1.0
-540.0 487.25 206.5 328.25 578.3195105852478 587.503727288399 0.0 1.0
-545.0 487.25 285.5 328.25 615.2523923908782 587.503727288399 0.0 1.0
-577.5 487.0 329.0 328.5 664.9993936492358 587.436233287418 0.0 1.0
-576.5 488.0 328.5 327.0 664.1087239695698 587.4295542621826 0.0 1.0
-611.0 524.75 292.0 311.0 677.5541923794704 609.9954410659401 0.0 1.0
-595.5 526.25 284.0 308.25 660.4653550396645 609.8832792672388 0.0 1.0
-583.5 524.5 274.0 306.75 645.3175895376619 607.6148937204055 0.0 1.0
-559.5 513.5 318.0 308.0 643.9045840687432 598.8381523996868 0.0 1.0
-563.0 527.0 299.0 303.0 638.3600743903648 607.8964006680176 0.0 1.0
-602.0 502.5357142857143 214.5 300.4642857142857 639.2085746944122 585.5171074267014 0.0 1.0
-643.0 482.67857142857144 169.0 292.32142857142856 664.841919200048 564.3250775142126 0.0 0.0
-476.0 462.82142857142856 269.0 284.17857142857144 546.752573495384 543.1330476017238 0.0 0.0
-477.0 442.9642857142857 261.0 276.0357142857143 543.7371416215104 521.941017689235 0.0 0.0
-396.0 570.75 216.0 304.75 452.4346301640425 647.1730290765356 0.0 0.0
-443.33333333333337 521.0 222.33333333333331 326.25 495.9856427542022 614.7274514639277 0.0 1.0
-478.66666666666663 524.25 229.66666666666669 331.0 530.936679669336 620.0016718294664 0.0 1.0
-486.5 518.75 233.5 331.75 539.634130290324 615.7642686986648 0.0 1.0
-509.0 519.5 235.5 333.5 560.8412023722373 617.335234571901 0.0 1.0
-598.4583333333333 521.0 306.75 332.25 672.6596266192496 617.9253020100523 0.0 1.0
-540.2916666666667 519.75 259.75 332.5 600.0789959303233 617.0059923223489 0.0 1.0
-482.125 561.75 212.75 324.5 527.4983652413969 648.956323641267 0.0 1.0
-477.0 549.5 223.0 331.0 527.1482470719652 641.5006314082113 0.0 1.0
-697.5 560.0 335.5 323.25 773.9938660539361 646.6079793809732 0.0 1.0
-658.5 559.0 332.5 319.5 737.7627695571234 643.86957995938 0.0 1.0
-583.5 505.0 309.5 340.5 660.502098106472 609.069414821507 0.0 1.0
-703.5 504.0 277.5 338.75 758.7370223501364 607.2623548367192 0.0 1.0
-705.0 516.5 282.0 333.25 761.8951700061094 614.7636661454808 0.0 1.0
-669.0 489.3928571428571 292.5 324.17857142857144 730.7948511834512 587.116359944047 0.0 1.0
-575.5 476.96428571428567 271.0 302.8928571428571 638.0795378171958 565.3446807804438 0.0 0.0
