x_T x_A y_T y_A d_T d_A FaceA_T FaceT_A
-451.0 -517.0 289.0 358.0 535.6510737161902 628.851302858394 1.0 1.0
-485.0 -516.5 292.0 360.0 566.3369637329238 629.5811450946509 1.0 1.0
-523.0 -515.0 289.5 361.5 597.7799527706235 629.2118721730792 1.0 1.0
-536.5 -512.0 282.5 362.5 606.3380229405977 627.3368084049864 1.0 1.0
-543.0 -530.0 277.0 403.0 609.572342171022 665.8162208909578 1.0 0.0
-542.0 -530.0 274.0 400.0 607.3223619443829 664.0030120413611 1.0 1.0
-540.5 -529.5 271.0 399.5 604.6331532539779 663.3027284754128 1.0 1.0
-528.5 -529.0 266.0 398.0 591.6656572835273 662.0008758584358 1.0 1.0
-525.0 -529.0 266.5 397.5 588.7676096660589 661.7002720265423 1.0 1.0
-552.0 -528.5 293.0 396.0 625.0306972066508 660.4001893617561 1.0 1.0
-571.5 -527.5 310.5 395.0 650.4031343781357 659.0003112154704 1.0 1.0
-574.0 -529.0 313.5 394.5 654.0336323401798 659.9025766385156 1.0 1.0
-585.0 -536.5 285.5 394.5 651.6047320509824 665.9298011051916 1.0 1.0
-580.5 -547.5 254.5 391.5 633.8406517315296 673.0739815072664 1.0 1.0
-584.0 -548.0 255.0 388.5 637.244882311391 671.741269851387 1.0 1.0
-587.0 -536.5 256.5 379.5 640.5947888134059 657.1548523749939 1.0 1.0
-584.5 -529.5 259.0 374.0 639.31310795259 648.2641566439536 1.0 1.0
-584.0 -532.5 260.5 370.5 639.4659381222732 648.7121576347877 1.0 1.0
-584.0 -537.5 262.5 369.0 640.2832864978607 651.9733522705201 1.0 1.0
-584.0 -537.0 264.0 369.0 640.8999552276148 651.5604018886743 1.0 1.0
-582.5 -534.5 267.5 368.5 640.9855692603384 649.2168484756899 1.0 1.0
-583.0 -536.0 269.0 372.5 642.067317505474 652.727115278884 1.0 1.0
-597.5 -541.0 273.0 378.0 656.9330562808456 659.9752254184182 1.0 1.0
-569.0 -541.5 283.5 380.0 635.7147943212658 661.5302959738631 1.0 1.0
-574.0 -534.0 281.0 382.5 639.0913783645841 656.8586055787698 1.0 1.0
-565.0 -528.0 283.5 383.5 632.1376796603749 652.5766238534752 1.0 1.0
-561.5 -525.0 288.0 381.0 631.0517016314843 648.6803247795294 1.0 1.0
-541.5 -524.0 289.5 383.5 614.1184689659725 649.3445442912632 1.0 1.0
-515.5 -508.5 284.0 371.5 588.5587849571576 629.7678392937446 1.0 1.0
-504.5 -504.0 278.0 362.5 576.0251878868442 620.8239805007412 1.0 1.0
-508.0 -504.0 276.5 363.0 578.373864596348 621.1159312076933 1.0 1.0
-520.0 -503.5 275.5 364.0 588.4728581622974 621.2956911259516 1.0 1.0
-524.5 -504.0 277.0 363.0 593.1520917746845 621.1159312076933 1.0 1.0
-528.5 -505.0 275.5 361.5 595.9998159767975 621.0533390941554 1.0 1.0
-534.5 -506.0 278.0 362.0 602.4785655889378 622.1576692155978 1.0 1.0
-523.25 -506.5 257.2916666666667 364.0 583.4336873052739 623.72930827403 1.0 1.0
-522.25 -508.5 230.45833333333331 366.0 571.9665262423104 626.521362643183 0.0 1.0
-521.25 -517.5 203.625 378.5 560.4993651793468 641.1463661848736 0.0 1.0
-540.0 -517.5 206.5 382.0 578.3195105852478 643.219167389554 0.0 1.0
-545.0 -518.5 285.5 387.0 615.2523923908782 647.0017387920993 0.0 1.0
-577.5 -519.0 329.0 389.5 664.9993936492358 648.9001002265388 0.0 1.0
-576.5 -519.5 328.5 390.0 664.1087239695698 649.6000998629645 0.0 1.0
-611.0 -510.5 292.0 375.0 677.5541923794704 633.4318428374074 1.0 1.0
-595.5 -509.0 284.0 369.0 660.4653550396645 628.6827597425296 1.0 1.0
-583.5 -508.5 274.0 365.5 645.3175895376619 626.2289236672765 1.0 1.0
-559.5 -508.5 318.0 363.5 643.9045840687432 625.0637291129624 0.0 1.0
-563.0 -516.5 299.0 379.5 638.3600743903648 640.9753370397593 0.0 1.0
-602.0 -523.0 214.5 394.0 639.2085746944122 654.8015657536907 0.0 1.0
-643.0 -523.5 169.0 395.0 664.841919200048 655.8027523577497 0.0 1.0
-476.0 -522.5 269.0 396.0 546.752573495384 655.6083053165205 0.0 1.0
-477.0 -522.0 261.0 396.0 543.7371416215104 655.2100111256535 1.0 1.0
-396.0 -521.5 216.0 396.0 452.4346301640425 654.8116141303543 0.0 1.0
-443.33333333333337 -521.5 222.33333333333331 395.5 495.9856427542022 654.5093582218668 0.0 1.0
-478.66666666666663 -520.0 229.66666666666669 394.5 530.936679669336 652.7099978749027 0.0 1.0
-486.5 -518.0 233.5 392.0 539.634130290324 649.6062235725994 0.0 1.0
-509.0 -503.5 235.5 356.5 560.8412023722373 616.9315430656757 0.0 0.0
-598.4583333333333 -504.0 306.75 357.5 672.6596266192496 617.917807089474 0.0 1.0
-540.2916666666667 -503.5 259.75 359.0 600.0789959303233 618.379669572483 0.0 1.0
-482.125 -503.0 212.75 361.0 527.4983652413969 619.136495451528 0.0 1.0
-477.0 -503.0 223.0 363.0 527.1482470719652 620.3051565684428 0.0 1.0
-697.5 -511.0 335.5 375.5 773.9938660539361 634.1450036438322 0.0 1.0
-658.5 -518.5 332.5 389.0 737.7627695571234 648.2000771652697 0.0 1.0
-583.5 -517.0 309.5 384.5 660.502098106472 644.3052459820578 1.0 1.0
-703.5 -517.0 277.5 377.5 758.7370223501364 640.152520888577 1.0 1.0
-705.0 -515.5 282.0 366.5 761.8951700061094 632.5050719652324 0.0 1.0
-669.0 -512.5 292.5 352.5 730.7948511834512 622.0229095459426 0.0 1.0
-575.5 -510.5 271.0 338.0 638.0795378171958 612.253481976473 0.0 1.0
-541.5 -508.5 312.0 331.0 624.960569421567 606.7399983493334 1.0 1.0
-536.5 -508.0 310.0 338.0 619.6232071723997 610.1710359785245 1.0 1.0
-527.0 -467.35 309.0 263.4 610.9091630898686 536.4673990977832 1.0 0.0
-517.0 -480.75 310.5 273.0 603.0749818467411 552.860064409361 1.0 0.0
-518.0 -494.15 312.5 282.6 604.9636213573345 569.2527297209389 1.0 0.0
-517.0 -507.0 313.5 371.5 604.6249071286001 628.8201746730924 1.0 0.0
-517.0 -510.5 312.0 395.5 603.8485461944186 645.780148605785 1.0 1.0
-514.5 -516.5 312.0 382.0 601.7095917330782 642.4150338412178 1.0 1.0
-521.5 -520.0 289.0 376.5 596.6596795543624 641.994266006374 1.0 1.0
-486.0 -519.0 275.0 383.0 558.9214071460083 645.019881418501 1.0 1.0
-512.0 -516.5 291.5 393.0 589.5572771147777 649.0156077109461 1.0 1.0
-509.5 -517.0 266.0 404.0 574.7582113368999 656.1289166149625 1.0 1.0
-510.0 -516.0 265.0 410.5 574.739117468479 659.3685330772071 1.0 1.0
-510.5 -517.0 262.0 413.0 573.8068508835065 661.7083949898173 1.0 1.0
-511.5 -517.0 258.0 412.0 572.8915493912051 661.0847146924515 1.0 1.0
-532.0 -519.5 216.0 405.5 574.196588111625 659.0263204208607 1.0 1.0
-532.5 -521.5 218.5 394.5 575.5853572576817 653.9096031202341 1.0 1.0
-540.0 -522.5 226.0 391.0 585.3870810620972 652.6013028417304 1.0 1.0
-544.5 -511.0 218.0 372.0 586.5192250320907 632.0777182506708 1.0 1.0
-547.5 -507.5 206.0 365.5 584.9723624222052 625.4170711515399 1.0 1.0
-553.0 -507.5 204.5 366.5 589.6009265870546 626.0019968019271 1.0 1.0
-640.5 -507.5 288.0 366.0 703.3084888839273 625.7093974042583 1.0 1.0
-708.0 -509.5 256.5 369.5 753.0316461657083 629.3820833956249 0.0 1.0
-705.5 -520.5 255.5 396.0 750.340267344247 654.015856795952 0.0 1.0
-708.5 -519.0 310.5 397.0 775.1667423580059 653.4294853183852 0.0 1.0
-706.0 -518.5 309.5 397.0 772.6586775733449 653.0323498878138 0.0 1.0
-599.25 -518.5 307.75 397.5 675.8809894187161 653.3364370674576 0.0 1.0
-547.5 -517.5 274.5 397.0 612.467429407199 652.2386449759015 0.0 1.0
-616.0 -516.5 300.5 397.0 687.124303914931 651.4455080818349 1.0 1.0
-604.0 -516.5 249.5 398.0 653.5611129661731 652.0554040877201 1.0 1.0
-566.95 -514.5 260.20833333333337 401.0 651.0082880218818 652.3123527305451 1.0 1.0
-422.75 -512.5 289.04166666666663 405.0 639.3411514677612 653.2085454852233 0.0 1.0
-278.55 -512.5 317.875 410.5 627.6740149136403 656.6326979369821 0.0 1.0
-519.0 -512.5 340.0 416.0 620.4523857679685 660.0850324011294 0.0 1.0
-650.5 -514.5 378.0 423.5 756.669195493791 666.380146763092 0.0 1.0
-642.5 -519.5 263.5 434.0 694.4347086401035 676.9315716979347 1.0 1.0
-654.0 -525.0 274.5 443.0 709.2717025005471 686.9330378524901 1.0 1.0
-768.0 -570.5 308.5 435.5 827.6511462342963 718.6375057389487 0.0 1.0
-447.70833333333337 -595.0 333.54166666666663 423.0 559.0527042139709 730.0372686398234 0.0 1.0
-440.54166666666663 -592.5 287.70833333333337 431.0 528.7234265645752 732.6787115509101 0.0 1.0
-433.375 -591.5 241.875 432.5 498.3941489151796 732.7568304892973 0.0 1.0
-427.5 -589.0 232.5 425.0 487.1402865171742 726.3264487106649 0.0 1.0
-473.0 -575.5 299.5 380.0 559.8544633346405 690.19512043963 0.0 1.0
-530.5 -549.875 309.0 331.25 613.9333084834157 641.9417187705978 1.0 0.0
-584.5 -524.375 307.5 316.25 660.5964814675831 612.3587560728893 1.0 0.0
-572.5 -508.5 288.0 375.5 640.8590342066773 632.249895511582 1.0 0.0
-588.5 -492.0 288.5 403.5 655.4134320895627 636.3044939675184 1.0 0.0
-578.0 -542.5 262.625 417.0 635.8994877728704 684.2481905048652 0.0 0.0
-574.0 -537.0 230.79166666666669 417.5 620.0337744457499 680.2028694650226 0.0 1.0
-570.0 -537.5 198.95833333333334 416.0 604.1680611186295 679.6794965604031 0.0 1.0
-544.5 -533.0 189.5 407.0 576.5335021915616 670.6367284927805 0.0 1.0
-537.5 -528.5 230.5 400.0 585.199810605489 662.8065378393137 0.0 1.0
-556.5 -528.5 280.5 396.5 623.2021439793753 660.700196646887 1.0 1.0
-556.5 -527.5 288.0 394.0 626.6108678522647 658.401405279207 1.0 1.0
-603.5 -528.0 328.0 390.0 687.8305806612439 656.4176732471664 1.0 1.0
-567.5 -549.0 348.5 389.0 665.9649729548923 672.9134218443555 0.0 1.0
-570.0 -592.5 331.0 390.5 659.3167357810435 709.6241172180007 1.0 1.0
-578.5 -581.0 362.5 379.0 682.7026887774225 693.6873651775197 1.0 1.0
-579.0 -573.0 310.0 371.0 656.7655823271491 682.6199893872608 1.0 1.0
-580.0 -560.5 310.0 360.0 657.6476394170829 666.1533662224151 1.0 1.0
-561.5 -554.0 305.0 354.0 638.9894191857254 657.4435441292352 1.0 1.0
-569.0 -507.5 312.0 356.0 648.9262703565287 619.9169141031332 1.0 0.0
-573.5 -488.0 322.5 349.0 657.9609108520453 599.9565410079811 1.0 1.0
-578.5 -476.0 258.5 347.0 633.6299991589807 589.0555050845815 0.0 1.0
-600.0 -470.0 264.5 349.0 655.713544873898 585.4091562215451 1.0 1.0
-610.5 -465.0 267.0 352.0 666.3327172969143 583.2077475564063 1.0 1.0
-650.5 -540.0 273.5 414.5 705.7925918355935 680.7470155799459 1.0 0.0
-595.0 -541.5 269.0 417.0 652.9833444239152 683.455647621071 1.0 1.0
-653.0 -541.0 272.5 420.5 707.5779708674772 685.2016813707248 0.0 1.0
-635.5 -541.5 263.5 423.0 687.981208456679 687.1326291190079 1.0 1.0
-617.0 -542.5 263.5 423.5 670.9124580686387 688.2285230938921 1.0 1.0
-694.0 -542.5 274.0 424.0 746.4114775220335 688.5363098631764 1.0 1.0
-742.0 -601.5 309.0 406.5 806.552783856319 725.9783835931786 0.0 0.0
-783.0 -591.0 240.0 398.0 818.9560624899657 712.5201880245864 0.0 1.0
-714.0 -588.0 218.0 397.5 746.5387027259678 709.7537753228603 0.0 1.0
-620.0 -586.0 258.5 395.5 675.3285938320855 706.9768383759117 0.0 1.0
-512.0 -541.5 285.0 377.0 585.9778462147231 659.843471753018 0.0 1.0
-556.0 -517.5 360.0 368.0 662.4656657376552 635.0042645825931 0.0 1.0
-529.0 -518.0 248.0 367.5 584.2477260633618 635.122232330124 1.0 1.0
-530.5 -518.0 246.5 367.0 584.9722224408489 634.8331800156318 1.0 1.0
-531.0 -518.5 248.0 368.0 586.0590458586308 635.819419133155 1.0 1.0
-536.5 -510.0 249.5 368.5 591.6778982569199 629.2005810965959 1.0 1.0
-539.0 -526.5 254.0 383.0 595.8499849550709 651.0863121534758 1.0 1.0
-559.0 -540.0 277.5 411.5 624.1948933772235 678.9200307530814 1.0 1.0
-579.0 -540.0 296.0 413.0 650.2759085286168 679.8301583821028 1.0 1.0
-577.5 -541.5 292.0 417.5 647.1247554363881 683.7605575053302 1.0 1.0
-578.0 -541.5 291.5 422.0 647.3458857983137 686.517479748331 1.0 1.0
-580.0 -541.5 294.0 426.5 650.2584473588877 689.292753479971 1.0 1.0
-581.0 -541.0 294.5 428.5 651.3764664946377 690.1400918477799 1.0 1.0
-583.0 -538.5 295.5 425.5 653.6125007213761 686.3181127080088 1.0 1.0
-584.5 -596.5 297.5 392.5 655.8555481201635 714.0507957151502 1.0 0.0
-572.5 -590.0 279.5 371.5 637.2026270915935 697.2177466001166 1.0 1.0
-525.5 -591.5 322.0 358.5 616.3070121162255 691.6608148772825 1.0 1.0
-536.5 -581.5 322.0 281.5 625.7133048464541 648.1498439987577 1.0 0.0
-537.5 -628.2857142857142 320.5 230.85714285714286 625.8006871201086 669.8798969455802 1.0 0.0
-536.0 -636.0 321.5 214.0 625.0266523487145 671.8132573380257 1.0 0.0
-536.5 -643.7142857142858 321.5 197.14285714285717 625.4554340638508 673.7466177304711 1.0 0.0
