d_T d_A d_P
578.3195105852478 643.219167389554 587.503727288399
615.2523923908782 647.0017387920993 587.503727288399
664.9993936492358 648.9001002265388 587.436233287418
664.1087239695698 649.6000998629645 587.4295542621826
677.5541923794704 633.4318428374074 609.9954410659401
660.4653550396645 628.6827597425296 609.8832792672388
645.3175895376619 626.2289236672765 607.6148937204055
643.9045840687432 625.0637291129624 598.8381523996868
638.3600743903648 640.9753370397593 607.8964006680176
639.2085746944122 654.8015657536907 585.5171074267014
664.841919200048 655.8027523577497 564.3250775142126
546.752573495384 655.6083053165205 543.1330476017238
543.7371416215104 655.2100111256535 521.941017689235
452.4346301640425 654.8116141303543 647.1730290765356
495.9856427542022 654.5093582218668 614.7274514639277
530.936679669336 652.7099978749027 620.0016718294664
539.634130290324 649.6062235725994 615.7642686986648
560.8412023722373 616.9315430656757 617.335234571901
672.6596266192496 617.917807089474 617.9253020100523
600.0789959303233 618.379669572483 617.0059923223489
527.4983652413969 619.136495451528 648.956323641267
527.1482470719652 620.3051565684428 641.5006314082113
773.9938660539361 634.1450036438322 646.6079793809732
737.7627695571234 648.2000771652697 643.86957995938
660.502098106472 644.3052459820578 609.069414821507
758.7370223501364 640.152520888577 607.2623548367192
761.8951700061094 632.5050719652324 614.7636661454808
730.7948511834512 622.0229095459426 587.116359944047
638.0795378171958 612.253481976473 565.3446807804438
624.960569421567 606.7399983493334 543.5730016168408
619.6232071723997 610.1710359785245 521.8013224532376
610.9091630898686 536.4673990977832 598.7962678921629
603.0749818467411 552.860064409361 614.4245348379286
604.9636213573345 569.2527297209389 613.887514996668
604.6249071286001 628.8201746730924 614.6276340354152
603.8485461944186 645.780148605785 615.9951456719393
601.7095917330782 642.4150338412178 615.5095565615377
596.6596795543624 641.994266006374 615.2322065269354
558.9214071460083 645.019881418501 611.352808889562
589.5572771147777 649.0156077109461 611.3604194993945
574.7582113368999 656.1289166149625 612.405111546671
574.739117468479 659.3685330772071 613.1128977308647
573.8068508835065 661.7083949898173 611.6028299921638
572.8915493912051 661.0847146924515 611.4046372718055
574.196588111625 659.0263204208607 615.0617681082749
575.5853572576817 653.9096031202341 615.281841566469
585.3870810620972 652.6013028417304 614.9485420044084
586.5192250320907 632.0777182506708 605.0256806642449
584.9723624222052 625.4170711515399 598.9533555019309
589.6009265870546 626.0019968019271 600.7031039931139
703.3084888839273 625.7093974042583 599.8627500835781
753.0316461657083 629.3820833956249 600.1266312944742
750.340267344247 654.015856795952 600.7958767157943
775.1667423580059 653.4294853183852 601.221875230417
772.6586775733449 653.0323498878138 600.206833824068
675.8809894187161 653.3364370674576 602.3358628726417
612.467429407199 652.2386449759015 603.0095583829791
687.124303914931 651.4455080818349 603.7707726963977
653.5611129661731 652.0554040877201 606.0777728198085
651.0082880218818 652.3123527305451 608.1350698773878
639.3411514677612 653.2085454852233 608.9527682244263
627.6740149136403 656.6326979369821 609.0864312369627
620.4523857679685 660.0850324011294 608.9524803488175
756.669195493791 666.380146763092 607.3147361015589
694.4347086401035 676.9315716979347 611.6279021091842
709.2717025005471 686.9330378524901 613.5418036777097
827.6511462342963 718.6375057389487 613.7412899381986
559.0527042139709 730.0372686398234 613.1225774519467
528.7234265645752 732.6787115509101 613.6151733924411
498.3941489151796 732.7568304892973 613.5531159866521
487.1402865171742 726.3264487106649 612.442075332471
559.8544633346405 690.19512043963 612.7875899957282
613.9333084834157 641.9417187705978 613.4055965506411
660.5964814675831 612.3587560728893 614.7889278202128
640.8590342066773 632.249895511582 616.6545476284562
655.4134320895627 636.3044939675184 613.2693731814215
635.8994877728704 684.2481905048652 600.4766173280201
620.0337744457499 680.2028694650226 601.3201567835913
604.1680611186295 679.6794965604031 602.3730102829571
576.5335021915616 670.6367284927805 601.6335701019952
585.199810605489 662.8065378393137 600.5509395560027
623.2021439793753 660.700196646887 600.1571525940323
626.6108678522647 658.401405279207 599.7156239244391
687.8305806612439 656.4176732471664 599.9287457690288
665.9649729548923 672.9134218443555 599.8464330348341
659.3167357810435 709.6241172180007 599.6676730569216
682.7026887774225 693.6873651775197 600.4378667815283
656.7655823271491 682.6199893872608 600.5683387680493
657.6476394170829 666.1533662224151 601.8489374083099
638.9894191857254 657.4435441292352 602.6191594909392
648.9262703565287 619.9169141031332 603.6497723802909
657.9609108520453 599.9565410079811 599.3782465446313
633.6299991589807 589.0555050845815 603.4122916491457
655.713544873898 585.4091562215451 607.0742255883022
666.3327172969143 583.2077475564063 607.9181371698097
