x_A x_P y_A y_P d_A d_P FaceP_A FaceA_P
503.5 487.75 364.0 326.75 621.2956911259516 587.1146832788774 0.0 0.0
504.0 492.75 363.0 331.0 621.1159312076933 593.6022084976044 0.0 0.0
505.0 490.75 361.5 331.0 621.0533390941554 591.9431884742769 0.0 0.0
506.0 490.5 362.0 330.5 622.1576692155978 591.4566608847415 0.0 0.0
506.5 490.5 364.0 329.0 623.72930827403 590.6194439519243 0.0 0.0
508.5 489.5 366.0 328.5 626.521362643183 589.5104058852735 0.0 0.0
517.5 487.75 378.5 328.25 641.1463661848736 587.9185703819046 0.0 0.0
517.5 487.25 382.0 328.25 643.219167389554 587.503727288399 0.0 0.0
518.5 487.25 387.0 328.25 647.0017387920993 587.503727288399 0.0 0.0
519.0 487.0 389.5 328.5 648.9001002265388 587.436233287418 0.0 0.0
519.5 488.0 390.0 327.0 649.6000998629645 587.4295542621826 0.0 0.0
510.5 524.75 375.0 311.0 633.4318428374074 609.9954410659401 0.0 0.0
509.0 526.25 369.0 308.25 628.6827597425296 609.8832792672388 0.0 0.0
508.5 524.5 365.5 306.75 626.2289236672765 607.6148937204055 0.0 0.0
508.5 513.5 363.5 308.0 625.0637291129624 598.8381523996868 0.0 0.0
516.5 527.0 379.5 303.0 640.9753370397593 607.8964006680176 0.0 0.0
523.0 502.5357142857143 394.0 300.4642857142857 654.8015657536907 585.5171074267014 0.0 0.0
523.5 482.67857142857144 395.0 292.32142857142856 655.8027523577497 564.3250775142126 0.0 0.0
522.5 462.82142857142856 396.0 284.17857142857144 655.6083053165205 543.1330476017238 0.0 0.0
522.0 442.9642857142857 396.0 276.0357142857143 655.2100111256535 521.941017689235 0.0 0.0
521.5 570.75 396.0 304.75 654.8116141303543 647.1730290765356 0.0 0.0
521.5 521.0 395.5 326.25 654.5093582218668 614.7274514639277 0.0 0.0
520.0 524.25 394.5 331.0 652.7099978749027 620.0016718294664 0.0 0.0
518.0 518.75 392.0 331.75 649.6062235725994 615.7642686986648 0.0 0.0
503.5 519.5 356.5 333.5 616.9315430656757 617.335234571901 0.0 0.0
504.0 521.0 357.5 332.25 617.917807089474 617.9253020100523 0.0 0.0
503.5 519.75 359.0 332.5 618.379669572483 617.0059923223489 0.0 0.0
503.0 561.75 361.0 324.5 619.136495451528 648.956323641267 0.0 0.0
503.0 549.5 363.0 331.0 620.3051565684428 641.5006314082113 0.0 0.0
511.0 560.0 375.5 323.25 634.1450036438322 646.6079793809732 0.0 0.0
518.5 559.0 389.0 319.5 648.2000771652697 643.86957995938 0.0 0.0
517.0 505.0 384.5 340.5 644.3052459820578 609.069414821507 0.0 0.0
517.0 504.0 377.5 338.75 640.152520888577 607.2623548367192 0.0 0.0
515.5 516.5 366.5 333.25 632.5050719652324 614.7636661454808 0.0 0.0
512.5 489.3928571428571 352.5 324.17857142857144 622.0229095459426 587.116359944047 0.0 0.0
510.5 476.96428571428567 338.0 302.8928571428571 612.253481976473 565.3446807804438 0.0 0.0
508.5 464.53571428571433 331.0 281.6071428571429 606.7399983493334 543.5730016168408 0.0 0.0
508.0 452.1071428571429 338.0 260.32142857142856 610.1710359785245 521.8013224532376 0.0 0.0
467.35 501.75 263.4 326.75 536.4673990977832 598.7962678921629 0.0 0.0
480.75 514.25 273.0 336.25 552.860064409361 614.4245348379286 0.0 0.0
494.15 514.75 282.6 334.5 569.2527297209389 613.887514996668 0.0 0.0
507.0 513.5 371.5 337.75 628.8201746730924 614.6276340354152 0.0 0.0
510.5 513.0 395.5 341.0 645.780148605785 615.9951456719393 0.0 0.0
516.5 512.25 382.0 341.25 642.4150338412178 615.5095565615377 0.0 0.0
